suite,dimension,budget,function,function_class,reference,opponent,n_reference,n_opponent,u_reference,probability_conly_lower,median_conly,median_opponent,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2014,10,100000,23,composition,MSC-CMA-Conly,MSC-CMA,51,51,865,0.66743560169165705,300.00000000003502,300.00000000020373,0.0033228254986243429,8,0.026582603988994744,0.05,conly better
cec2014,10,100000,24,composition,MSC-CMA-Conly,MSC-CMA,51,51,2467.5,0.051326412918108466,110.90277638293173,106.59501597065992,5.7569043108526909e-15,8,4.6055234486821527e-14,0.05,opponent better
cec2014,10,100000,25,composition,MSC-CMA-Conly,MSC-CMA,51,51,2136,0.17877739331026532,122.35157777919812,116.43221169254275,2.2896971760132728e-08,8,1.8317577408106182e-07,0.05,opponent better
cec2014,10,100000,26,composition,MSC-CMA-Conly,MSC-CMA,51,51,1816,0.3018069973087274,100.30513843376229,100.19251325086498,0.00056738535808714989,8,0.0045390828646971991,0.05,opponent better
cec2014,10,100000,27,composition,MSC-CMA-Conly,MSC-CMA,51,51,2135,0.17916186082276042,3.5373445192972213,2.3682339283668625,2.3815440681423093e-08,8,1.9052352545138475e-07,0.05,opponent better
cec2014,10,100000,28,composition,MSC-CMA-Conly,MSC-CMA,51,51,708,0.72779700115340251,100.26615231546248,372.12153116836953,7.4298779653741049e-05,8,0.00059439023722992839,0.05,conly better
cec2014,10,100000,29,composition,MSC-CMA-Conly,MSC-CMA,51,51,1459,0.43906189926951178,225.49603117813422,224.30014824747741,0.29030728434843456,8,1,0.05,not significant
cec2014,10,100000,30,composition,MSC-CMA-Conly,MSC-CMA,51,51,2053,0.21068819684736639,513.76909848341029,472.57521579918148,4.8307503378897862e-07,8,3.864600270311829e-06,0.05,opponent better
cec2017,10,100000,21,composition,MSC-CMA-Conly,MSC-CMA,51,51,705.5,0.7287581699346406,100.00000000000136,100.0000000000191,6.7758657255447371e-05,10,0.00067758657255447365,0.05,conly better
cec2017,10,100000,22,composition,MSC-CMA-Conly,MSC-CMA,51,51,1357,0.47827758554402156,11.563057352644591,11.396522268506942,0.70757399152444544,10,1,0.05,not significant
